공룡둘리에 대한 슬픈 오마주	4.5
인천 상륙 작전	4.0
상대적이며 절대적인 지식의 백과사전	3.0
몬스터	5.0
하악하악	4.0
난장이가 쏘아올린 작은 공	4.0
오페라의 유령	4.0
태백산맥	4.0
세상의 바보들에게 웃으면서 화내는 방법	5.0
연탄길	3.5
모랫말 아이들	3.0
희키 단편선	4.5
정의란 무엇인가	4.0
자본론	5.0
진격의 거인	3.0
하얀거탑	4.0
바티스타 수술 팀의 영광	3.5
지문사냥꾼	4.0
엘리베이터에 낀 그 남자는 어떻게 되었나	4.0
파리대왕	4.5
원펀맨 One Punch Man	4.0
미생	5.0
만화로 보는 그리스 로마 신화	4.5
셜록 홈즈 전집 4 : 셜록 홈즈의 모험	3.5
셜록 홈즈 전집 3 : 주홍색연구 네명의 기호	3.5
셜록 홈즈 전집 2 : 배스커빌의 개	4.0
셜록 홈즈 전집 1	4.5
헬싱	4.5
눈먼 자들의 도시	4.0
해리 포터와 아즈카반의 죄수	3.5
우리들의 일그러진 영웅	5.0
거꾸로 읽는 세계사	4.0
친절한 복희씨	4.0
신과 함께 : 저승편	4.5
원피스 ONE PIECE	3.5
강철의 연금술사	5.0
동물농장	5.0
삼미 슈퍼스타즈의 마지막 팬클럽	4.0
파피용	4.0
타나토노트	4.0
천사들의 제국	3.5
나무	4.0
쥬라기 공원	5.0
어린왕자	5.0
톨스토이 단편선	5.0
광장/구운몽	5.0
만들어진 신	4.5
그리고 아무도 없었다	4.5
포우 단편선	4.5
검은 고양이	5.0
변신	5.0
디지털 포트리스	3.0
뇌	3.5
개미혁명	3.5
개미	4.0
반지의 제왕	5.0
해리 포터와 죽음의 성물	4.0
해리포터 사이언스	3.0
해리 포터와 불사조 기사단	4.0
해리 포터와 불의 잔	4.5
해리 포터와 비밀의 방	3.5
해리 포터와 혼혈왕자	4.0
해리 포터와 마법사의 돌	4.0
다윈 지능	4.5
이기적 유전자	3.5
괭이부리말 아이들	3.5
신	3.5
파인만 씨, 농담도 잘하시네!	4.5
다 빈치 코드	3.5
멋진 신세계	4.5
바리데기	3.0
