나를 보는 당신을 바라보았다	4.0
어른이 되어 더 큰 혼란이 시작되었다	4.0
중국인 거리 「오정희」	4.0
비밀의 숲	3.0
잠깐 애덤 스미스 씨, 저녁은 누가 차려줬어요?	4.0
현남 오빠에게	2.5
어제	3.5
여자들은 자꾸 같은 질문을 받는다	4.0
결혼하지 않아도 괜찮을까?	4.0
아무래도 싫은 사람	4.0
지금 이대로 괜찮은 걸까?	3.5
수짱의 연애	3.5
평균 연령 60세 사와무라 씨 댁은 이제 개를 키우지 않는다	3.0
평균 연령 60세 사와무라 씨 댁의 이런 하루	3.0
너의 곁에서	2.0
주말엔 숲으로	3.0
여자들은 언제나 대단해	4.0
어른이 되기는 글렀어	3.0
자기 앞의 생	4.0
대성당	3.0
봄.봄 「김유정」	3.0
구운몽	3.0
허생전	3.0
사씨남정기	3.0
무진기행 「김승옥」	3.0
수난이대 「하근찬」	3.0
소나기	3.0
멋진 신세계	4.0
나무	3.0
카타리나 블룸의 잃어버린 명예	4.0
제인 오스틴 북클럽	3.0
위대한 개츠비	3.0
지구영웅전설	3.0
자살토끼	1.5
어린 왕자	4.0
시지프 신화	3.5
토지 	3.0
김약국의 딸들	3.0
연인	2.0
여성에게 문화는 있었는가	4.5
그녀들의 메르헨	3.0
남자들은 모른다	4.0
위키드 1	4.0
채소의 기분, 바다표범의 키스	3.0
샐러드를 좋아하는 사자	3.0
노르웨이의 숲	2.0
무진기행	3.0
바닷마을 다이어리	3.0
신과 함께 : 신화편	3.0
신과 함께 : 이승편	3.5
신과 함께 : 저승편	3.5
해리 포터와 마법사의 돌	4.0
나니아 연대기	1.5
바리공주	1.5
오디션	2.5
퀴어	2.5
나는 시간이 아주 많은 어른이 되고 싶었다	2.0
책상은 책상이다	3.5
미생	3.5
내가 정말 원하는 건 뭐지?	3.5
20세기 소년	2.0
슬램덩크	4.0
벽으로 드나드는 남자	2.5
박씨전	3.0
숙영낭자전	1.0
이유	3.5
디아스포라 기행	4.0
타고난 거짓말쟁이들	4.0
디아스포라의 눈	3.5
새벽 세시, 바람이 부나요?	1.0
오! 당신들의 나라	4.5
일곱번째 파도	0.5
생각하지 않는 사람들	4.0
독서의 역사	3.5
흔적 없이 사라지는 법	4.0
피로사회	3.5
빨간 공책	2.0
타자기를 치켜세움	2.0
인생 따위 엿이나 먹어라	1.5
셜록 홈즈 : 주홍색 연구	3.0
무의미의 축제	1.5
잔인한 도시	3.0
춘향전	2.0
남신의주 유동 박시봉방	4.5
운수 좋은 날 「현진건」	3.5
서울, 1964년 겨울	3.0
홍계월전	3.0
카스테라	1.5
유년의 뜰	5.0
엘리베이터에 낀 그 남자는 어떻게 되었나	3.5
시빌 워	3.0
만세전	3.5
감자	1.5
김혜리 기자의 영화야 미안해	3.5
욕망이라는 이름의 전차	1.5
18세기의 맛	3.5
김 박사는 누구인가?	3.0
갈팡질팡하다가 내 이럴 줄 알았지	3.0
거의 모든 것의 정리법	1.5
몸에 갇힌 사람들	5.0
남자들은 자꾸 나를 가르치려 든다	5.0
날개	3.5
무정	3.0
주기율표	4.5
뤼미에르 피플	2.0
그믐, 또는 당신이 세계를 기억하는 방식	2.5
브로콜리 평원의 혈투	3.0
마션	4.5
한국이 싫어서	3.5
열광금지, 에바로드	3.0
표백	1.0
연애하지 않을 자유	3.0
우리는 모두 페미니스트가 되어야 합니다	5.0
빛과 물질에 관한 이론	1.0
남자의 탄생	1.0
빌 브라이슨 발칙한 유럽산책	1.5
근대 여성, 제국을 거쳐 조선으로 회유하다	3.5
프로불편러 일기	3.0
퀴르발 남작의 성	2.5
댓글부대	2.0
밥벌이의 지겨움	1.0
환상의 빛	2.5
나를 찾아줘	4.5
헬프	2.0
동물농장	3.5
동백꽃	3.0
잉여인간	1.0
쇼코의 미소	3.5
82년생 김지영	3.5
나쁜 페미니스트	3.5
당신 인생의 이야기	5.0
