즐거운 나의 집	3.5
클로디아의 비밀	4.5
3단합체 김창남	3.0
아마존에서 살아남기	2.5
두나's 런던놀이	2.0
스페셜 에이 S.A 3 7 8	2.0
3차 산업혁명	3.5
오무라이스 잼잼	4.0
정의론	4.0
시크릿 하우스	3.5
연탄길	3.0
작은 아씨들	4.5
죄와 벌	4.0
달과 6펜스	4.0
만들어진 신	4.0
시턴 동물기	3.5
위저드 베이커리	4.0
돼지책 (100쇄 기념판)	3.5
안나라수마나라	4.0
저녁 같이 드실래요? 1	4.0
어쿠스틱 라이프	3.5
용이 산다 2	3.5
내 어린고양이와 늙은개	3.5
아는 사람 이야기 4	4.0
오렌지 마말레이드	1.5
창백한 말	4.5
낮에 뜨는 달	4.0
십이야	3.5
수업시간 그녀	5.0
삼봉이발소	4.0
먹는 존재	4.0
S라인	4.0
살인자ㅇ난감 -	4.0
닥터 프로스트 1 : 텅 빈 남자	3.5
양말 도깨비	2.5
운빨 로맨스	3.0
스튜디오 짭쪼롬 1	4.0
예쁜 남자	3.5
가시고기	4.0
파브르 곤충기	3.5
어린 왕자	3.5
15소년 표류기	3.5
수난이대 「하근찬」	4.0
지선아 사랑해	3.5
열세 살 키라	4.0
1984	5.0
사랑손님과 어머니	4.5
아이들은 즐겁다 	5.0
달빛천사	3.5
운수 좋은 날 「현진건」	3.0
엄마를 부탁해	4.0
80일간의 세계일주	3.5
도가니	3.5
위대한 개츠비	4.5
브레이킹 던	1.0
마지막 잎새	4.0
치즈 인 더 트랩	4.5
궁宮 1	3.5
나쁜 어린이표	4.0
연금술사	4.5
신	4.0
자전거 도둑	4.0
너도 하늘말나리야 	4.0
박철범의 하루공부법	3.0
신의 물방울 1	3.5
연어	4.0
어디로 갔을까 나의 한쪽은	4.0
성균관 유생들의 나날	4.0
꿈꾸는 다락방	0.5
원미동 사람들	4.0
어느 날 내가 죽었습니다	5.0
모모	5.0
동물농장	5.0
타라 덩컨	3.5
몽실 언니	4.0
샬롯의 거미줄	4.0
배려	3.0
내 이름은 나답게	3.0
무기 팔지 마세요!	4.0
열두 살에 부자가 된 키라	4.0
양파의 왕따일기	4.5
내 이름은 삐삐 롱스타킹	3.5
꽃들에게 희망을	5.0
아낌없이 주는 나무 (어린이용)	4.5
어린이를 위한 마시멜로 이야기	2.5
찰리와 거대한 유리 엘리베이터	3.5
오즈의 마법사	3.5
수학귀신	2.5
소나기	4.5
강아지똥	5.0
버드나무에 부는 바람	5.0
눈의 여왕	4.5
흑설공주 이야기	2.5
키다리 아저씨	4.0
만화로 보는 그리스 로마 신화	3.5
플랜더스의 개	4.0
몽실 언니	4.0
마당을 나온 암탉	5.0
신과 함께 : 이승편	3.5
멋진 신세계	5.0
여중생A	5.0
난장이가 쏘아올린 작은 공	4.5
쟌니 스키키 Gianni Schicchi	4.0
거울나라의 앨리스	3.5
트와일라잇	3.0
아프니까 청춘이다	2.0
아홉살 인생	4.5
안네의 일기	4.0
이상한 나라의 앨리스	4.5
소공녀	4.0
비밀의 화원	5.0
마녀를 잡아라	3.5
찰리와 초콜릿 공장 	5.0
우리들의 일그러진 영웅	5.0
지킬 박사와 하이드	5.0
침묵의 봄	4.0
작은 것이 아름답다	4.5
왜 세계의 절반은 굶주리는가?	3.5
총 균 쇠	3.0
유토피아	4.0
공산당선언	4.0
헌법의 풍경	5.0
괭이부리말 아이들	3.5
인간 불평등 기원론	4.5
