encore01	완득이	4.0
encore01	스물아홉 생일, 1년 후 죽기로 결심했다	5.0
encore01	청소부 밥	5.0
encore01	말의 품격	5.0
encore01	예감은 틀리지 않는다	4.0
encore01	무소유	3.5
encore01	미생	5.0
encore01	코스모스	1.5
encore01	Me Before You	5.0
encore01	Harry Potter and the Cursed Child - Parts One and Two	5.0
encore01	창문 넘어 도망친 100세 노인 (큰글자판)	5.0
encore01	어느 날 내가 죽었습니다	4.0
encore01	어디선가 나를 찾는 전화벨이 울리고	5.0
encore01	모멘트	4.0
encore01	은밀하게 위대하게	4.0
encore01	안네의 일기	4.0
encore01	신과 함께 : 이승편	5.0
encore01	원미동 사람들	4.0
encore01	사랑손님과 어머니	3.0
encore01	화차	5.0
encore01	해리 포터와 비밀의 방	5.0
encore01	소설가 구보씨의 일일	4.0
encore01	그리고 아무도 없었다	3.0
encore01	종의 기원	2.0
encore01	뇌	3.0
encore01	빨간 머리 앤	4.0
encore01	이방인	3.5
encore01	식객	5.0
encore01	어린 왕자	3.5
encore01	어린 왕자	3.5
encore01	죽음에 관하여	5.0
encore01	셜록 홈즈 : 모리어티의 죽음	5.0
encore01	1Q84	3.0
encore01	메이즈 러너	4.0
encore01	나의 라임 오렌지나무	4.0
encore01	해리 포터와 불사조 기사단	5.0
encore01	구운몽	3.0
encore01	신과 함께 : 저승편	4.5
encore01	서울, 1964년 겨울	4.0
encore01	정의란 무엇인가	2.0
encore01	나무	5.0
encore01	오발탄	3.0
encore01	오페라의 유령	4.5
encore01	파라다이스	3.0
encore01	정글만리	2.5
encore01	80일간의 세계일주	5.0
encore01	해를 품은 달	2.5
encore01	죽은 왕녀를 위한 파반느	5.0
encore01	보통의 존재 	4.0
encore01	향수	2.5
encore01	목욕의 신	5.0
encore01	얼굴 빨개지는 아이	3.0
encore01	어린 왕자	4.0
encore01	난장이가 쏘아올린 작은 공	3.5
encore01	시간을 달리는 소녀	5.0
encore01	마션	4.0
encore01	완득이	3.5
encore01	창가의 토토	5.0
encore01	천사와 악마	4.5
encore01	남과 여 1	3.0
encore02	가장 빨리 만나는 도커 Docker	3.0
encore02	2017 시나공 정보처리기사 필기 + 별책부록(기출문제집)	3.0
encore02	뇌	5.0
encore02	밀실살인게임	3.5
encore02	미생	3.0
encore02	오렌지 마말레이드	2.0
encore02	정재승의 과학 콘서트	4.0
encore02	마지막 잎새	4.0
encore02	1cm 첫 번째 이야기	4.0
encore02	데스 노트 Death Note	5.0
encore02	셜록 홈즈 전집 1	5.0
encore02	셜록 홈즈 : 모리어티의 죽음	5.0
encore02	하치 이야기	4.0
encore02	늑대의 유혹	5.0
encore02	타이밍	4.0
encore02	그리고 아무도 없었다	4.0
