encore3	마시멜로 세 번째 이야기	3.0
encore3	선물	4.0
encore3	어떻게 원하는 것을 얻는가	3.5
encore3	이기는 습관	4.0
encore3	성공하는 사람들의 7가지 습관	3.5
encore3	마시멜로 이야기	3.5
encore3	콘텐츠의 미래	3.5
encore3	소음과 투자	3.0
encore3	빅 숏 Big Short	3.5
encore3	신호와 소음	3.0
encore3	나는 세계 일주로 자본주의를 만났다	3.0
encore3	경영학 콘서트	3.0
encore3	화폐전쟁	4.0
encore3	나는 세계 일주로 경제를 배웠다	3.5
encore3	클라우스 슈밥의 제4차 산업혁명	3.0
encore3	화폐전쟁	4.5
encore3	넛지	4.0
encore3	그리고 아무도 없었다	4.0
encore3	완벽한 공부법	4.5
encore3	너의 이름은.	3.0
encore3	후레자식	3.0
encore3	냉정과 열정사이 Rosso	4.5
encore3	마시멜로 두 번째 이야기	4.0
encore3	나는 정말 너를 사랑하는 걸까?	3.0
encore3	해리 포터와 아즈카반의 죄수	3.5
encore3	당신, 거기 있어 줄래요?	4.5
encore3	1cm+ 일 센티 플러스	3.5
encore3	천사의 부름	4.5
encore3	연탄길	3.0
encore3	톨스토이 단편선	3.0
encore3	해리 포터와 불사조 기사단	4.0
encore3	냉정과 열정사이 Blu	4.0
encore3	파페포포 다이어리	3.0
encore3	나무	4.0
encore3	해리 포터와 혼혈왕자	4.0
encore3	너의 췌장을 먹고 싶어	3.5
encore3	야생초 편지	3.5
encore3	해리 포터와 죽음의 성물	4.0
encore3	종이 여자	4.0
encore3	색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해	4.0
encore3	어린 왕자	3.5
encore3	고백	4.0
encore4	웃음	3.0
encore4	블록체인 구조와 이론	3.0
encore4	왕좌의 게임	2.5
encore4	청바지 돌려 입기	3.0
encore4	죽은 시인의 사회	3.0
encore4	뇌	3.0
encore4	어린 왕자	3.0
encore4	아낌없이 주는 나무	3.0
encore4	우동 한 그릇	2.0
encore4	신	3.0
encore4	도가니	2.5
encore4	오만과 편견	2.5
encore4	1Q84	3.5
encore4	난장이가 쏘아올린 작은 공	2.5
encore4	개미	3.0
encore4	2015 시나공 정보처리산업기사 필기	3.0
encore4	C로 배우는 쉬운 자료구조	2.5
encore4	Do it! HTML5 + CSS3 웹 표준의 정석	3.0
encore4	Java의 정석	2.5
encore4	Do it! 안드로이드 앱 프로그래밍	3.0
encore4	Java의 정석	2.5
encore4	열혈강의 C 프로그래밍	2.5
encore4	데이터베이스 기초와 실습 : 액세스 2007	2.5
encore4	윤성우의 열혈 C 프로그래밍	2.5
encore4	적을 만들지 않는 대화법	1.5
encore4	마시멜로 이야기	2.5
encore4	심플하게 산다	2.0
encore4	파페포포 다이어리	2.5
encore4	연어	3.0
encore4	파피용	4.0
encore4	연애혁명	1.5
encore5	살인자의 기억법	3.0
encore5	무소유	4.5
encore5	그리고 아무도 없었다	4.0
encore5	오리엔트 특급살인	3.5
encore5	가면 산장 살인 사건	4.0
encore5	너의 췌장을 먹고 싶어	4.0
encore5	오페라의 유령	3.5
encore5	난장이가 쏘아올린 작은 공	4.0
encore5	남한산성	4.5
encore5	냉정과 열정사이 Rosso	4.0
encore5	슬램덩크	5.0
encore5	덕혜옹주	4.0
encore5	군주론	4.0
encore5	냉정과 열정사이 Blu	4.0
encore5	설민석의 조선왕조실록	4.0
encore5	베니스의 상인	4.0
encore6	웃음	5.0
encore6	플랜더스의 개	5.0
encore6	나의 라임 오렌지나무	5.0
encore6	허클베리 핀의 모험	5.0
encore6	나무	5.0
encore6	자기 앞의 생	5.0
encore6	악마는 프라다를 입는다	5.0
